step,agent_0_x,agent_0_y,agent_0_z,agent_1_x,agent_1_y,agent_1_z,agent_2_x,agent_2_y,agent_2_z
0,2.0,2.0,2.0,3.5,1.5,3.0,1.5,3.5,3.5
1,2.34276619553566,2.313828259706497,2.599968135356903,4.095349073410034,2.075555145740509,3.5999960899353027,1.5382140576839447,4.099994719028473,4.0999449491500854
2,2.703349232673645,2.622766673564911,3.19995778799057,4.689040303230286,2.666525721549988,4.199992656707764,1.6169763207435608,4.699985682964325,4.699912130832672
3,3.0666484236717224,2.929365396499634,3.799948990345001,5.281495571136475,3.253294885158539,4.799981653690338,1.691666230559349,5.299981415271759,5.299834132194519
4,3.4377938508987427,3.2381218671798706,4.399942517280579,5.870493292808533,3.850484549999237,5.39997673034668,1.7671281397342682,5.899977624416351,5.899792790412903
5,3.8041330575942993,3.5488834381103516,4.999934613704681,6.456738889217377,4.448574542999268,5.999973952770233,1.8047730177640915,6.499974548816681,6.499726176261902
6,4.177272915840149,3.86603507399559,5.599928319454193,7.04917448759079,5.015484631061554,6.599972188472748,1.8747516125440598,7.099971294403076,7.099657297134399
7,4.58926659822464,4.159609705209732,6.199926435947418,7.592798709869385,5.586479365825653,7.199971795082092,2.0780991464853287,7.699969112873077,7.699519038200378
8,4.997324198484421,4.4466730654239655,6.799924194812775,8.186519265174866,6.133100688457489,7.799970805644989,2.2287335842847824,8.299964964389801,8.29944497346878
9,5.364911079406738,4.752776026725769,7.399916410446167,8.720268666744232,6.680718719959259,8.399970769882202,2.409650146961212,8.899958550930023,8.899380683898926
10,5.750751823186874,5.045011818408966,7.9999101758003235,9.29567700624466,7.223562479019165,8.999969720840454,2.8605508506298065,9.499956488609314,9.499184727668762
11,6.135072112083435,5.332636773586273,8.599904179573059,9.777923911809921,7.758600413799286,9.59996908903122,3.4276091158390045,10.09995412826538,10.09905081987381
12,6.458757758140564,5.5878888964653015,9.199889659881592,10.197571724653244,8.345944225788116,10.19996690750122,4.027560263872147,10.699875831604004,10.698220014572144
13,6.857775896787643,5.788064107298851,9.799887418746948,10.585063993930817,8.90856260061264,10.799966514110565,4.627537816762924,11.299837112426758,11.297165095806122
14,6.597376585006714,6.164606794714928,10.399883031845093,11.013575613498688,9.488881051540375,11.399964272975922,5.226859956979752,11.899827361106873,11.896972298622131
15,6.129442989826202,6.596515491604805,10.999878168106079,11.252082169055939,10.04322999715805,11.999951183795929,5.826559215784073,12.499805092811584,12.49661535024643
16,6.527692824602127,6.865885689854622,11.599873006343842,11.501979172229767,10.60112988948822,12.598260045051575,6.426557034254074,13.098344445228577,13.092207312583923
17,6.931822121143341,7.138860508799553,12.199868142604828,11.58162896335125,11.199046075344086,13.197061479091644,7.026310354471207,13.698297560214996,13.691635131835938
18,7.473254859447479,7.4396428018808365,12.799865663051605,11.917100831866264,11.789767920970917,13.796917974948883,7.626234918832779,14.297154307365417,14.285197794437408
19,8.008953928947449,7.746015176177025,13.399863302707672,12.24028854072094,12.377330780029297,14.39660370349884,8.22598448395729,14.897001206874847,14.88087922334671
20,8.486347168684006,8.046638831496239,13.99985945224762,12.453353464603424,12.976424932479858,14.804764360189438,8.825864404439926,15.496931374073029,15.46916115283966
21,8.941443383693695,8.354883417487144,14.599853038787842,12.637739583849907,13.575766682624817,15.342860072851181,9.425726145505905,16.095918357372284,16.050840318202972
22,9.390389084815979,8.643870517611504,15.199845492839813,12.710381716489792,14.17512309551239,15.456203751266003,10.025633245706558,16.693741261959076,16.61749142408371
23,9.897590696811676,8.894554242491722,15.799817979335785,12.87144048511982,14.774901688098907,15.525020979344845,10.62553146481514,17.291851222515106,17.19079679250717
24,10.46617841720581,9.174437835812569,16.399753391742706,13.092766135931015,15.373046398162842,15.51988272741437,11.225410670042038,17.879189372062683,17.590965628623962
25,10.89796569943428,9.460355743765831,16.999431848526,13.259677022695541,15.971398770809174,15.505918947048485,11.825196713209152,18.411659002304077,17.81426142156124
26,11.36457446217537,9.779959097504616,17.599324822425842,13.475778087973595,16.57007485628128,15.417193581350148,12.42476549744606,18.641580134630203,17.89644456654787
27,11.909779757261276,10.060610845685005,18.1992427110672,13.701032727956772,17.168525338172913,15.308205877430737,13.02451142668724,18.961339086294174,17.976188458502293
28,12.462224334478378,10.321932151913643,18.799209356307983,13.958204478025436,17.76014757156372,15.105879043228924,13.624063044786453,19.09017924964428,18.00382641889155
29,13.037157028913498,10.595414355397224,19.39916855096817,14.264417052268982,18.286810517311096,14.890581359155476,14.22323927283287,19.266014754772186,17.996830435004085
30,13.627691835165024,10.883130803704262,19.999142348766327,14.622955918312073,18.612065821886063,14.672607128508389,14.822367817163467,19.306357257068157,17.938531776424497
31,14.221930533647537,11.216234758496284,20.0,15.002691477537155,18.82878528535366,14.515362207777798,15.42140856385231,19.316210513934493,17.824813765939325
32,14.820942848920822,11.645705863833427,20.0,15.40415957570076,18.931262642145157,14.663202320225537,16.02064636349678,19.190766161307693,17.639208582695574
33,15.420006483793259,12.162813350558281,20.0,15.864831417798996,19.122245997190475,14.665060271858238,16.619412928819656,19.153493316844106,17.4594435072504
34,16.017671316862106,12.747297331690788,20.0,16.08028882741928,19.169745933264494,14.877153923152946,17.217989891767502,19.022578107193112,17.22622546320781
35,16.61674538254738,13.339631780982018,20.0,16.429616272449493,19.225268434733152,14.885624889633618,17.81403812766075,18.92232188768685,17.0024055368267
36,17.21610990166664,13.935558542609215,20.0,16.51280550658703,19.062260549515486,15.41847181727644,18.41235253214836,18.560873361304402,16.73643393581733
37,17.81516334414482,14.535022899508476,20.0,16.5665623806417,19.057451371103525,15.068015102646314,19.01052352786064,17.98397889919579,16.22523118322715
38,18.41492810845375,15.133910521864891,20.0,16.585797170177102,18.765632066875696,15.625144247314893,19.528643161058426,17.384006829932332,16.819433224853128
39,19.014756947755814,15.73386649787426,20.0,16.779104793444276,18.960166562348604,15.219214562675916,18.928995221853256,16.794245393946767,17.419103456195444
40,19.61456933617592,16.33378653228283,20.0,16.803749630227685,18.75473189726472,15.805944148800336,18.928995221853256,16.794245393946767,17.419103456195444
41,20.0,16.933774694800377,20.0,16.987189615145326,18.92814264073968,15.414524112246,18.928995221853256,16.794245393946767,17.419103456195444
42,20.0,17.533720418810844,20.0,16.937649937346578,18.616567496210337,15.997021649382077,18.928995221853256,16.794245393946767,17.419103456195444
43,20.0,18.133680269122124,19.858451798558235,17.05558810569346,18.75361816957593,15.397042427561246,18.928995221853256,16.794245393946767,17.419103456195444
44,19.605872333049774,17.64677496254444,19.262535706162453,16.97568310983479,18.35673661902547,15.981726561090909,18.928995221853256,16.794245393946767,17.419103456195444
45,20.0,18.23615999519825,19.857862785458565,16.941809842363,18.60180065408349,15.391854677698575,18.928995221853256,16.794245393946767,17.419103456195444
46,19.617789298295975,17.863765344023705,19.26295281946659,16.889396032318473,18.28387949243188,15.974271629354917,18.928995221853256,16.794245393946767,17.419103456195444
47,20.0,18.430460140109062,19.578026190400124,17.066159209236503,18.499040458351374,16.142609600326978,18.928995221853256,16.794245393946767,17.419103456195444
48,19.556852847337723,18.00877983868122,18.99895168840885,17.066159209236503,18.499040458351374,16.142609600326978,18.928995221853256,16.794245393946767,17.419103456195444
49,18.971968799829483,17.68544279038906,18.400341883301735,17.066159209236503,18.499040458351374,16.142609600326978,18.928995221853256,16.794245393946767,17.419103456195444
50,19.09993077814579,18.28544269502163,18.791553750634193,17.066159209236503,18.499040458351374,16.142609600326978,18.928995221853256,16.794245393946767,17.419103456195444
51,18.745409205555916,17.779541835188866,18.19344861805439,17.066159209236503,18.499040458351374,16.142609600326978,18.928995221853256,16.794245393946767,17.419103456195444
