step,agent_0_x,agent_0_y,agent_0_z,agent_1_x,agent_1_y,agent_1_z,agent_2_x,agent_2_y,agent_2_z
0,2.0,2.0,2.0,3.5,1.5,3.0,1.5,3.5,3.5
1,2.2873542308807373,2.301328122615814,2.59993976354599,4.09101676940918,2.0864835381507874,3.599984586238861,1.359553188085556,4.099996507167816,4.098822772502899
2,2.5892847776412964,2.617133468389511,3.1999120116233826,4.6720022559165955,2.6861528158187866,4.199783682823181,1.2612183168530464,4.699994504451752,4.698258936405182
3,2.8905895352363586,2.9180035293102264,3.799892842769623,5.2462446093559265,3.2843968272209167,4.799626410007477,1.1226236745715141,5.299992799758911,5.297629296779633
4,3.1407393515110016,3.2560347616672516,4.39987576007843,5.4822289645671844,3.8843231201171875,5.399614930152893,1.0075897425413132,5.89998722076416,5.8975008726119995
5,3.305444657802582,3.64103502035141,4.999857127666473,5.9767138957977295,4.467072904109955,5.999614775180817,0.8708491176366806,6.49998676776886,6.496992766857147
6,3.684313952922821,3.9392365217208862,5.599839508533478,6.283755004405975,5.066731810569763,6.599614202976227,0.7588803321123123,7.099985837936401,7.096466481685638
7,4.157035976648331,4.246364533901215,6.199834644794464,6.627992689609528,5.664805829524994,7.199594438076019,0.693768821656704,7.6999818086624146,7.695993721485138
8,3.6151579916477203,4.816994071006775,6.799817442893982,7.1299630999565125,6.254310965538025,7.799591898918152,0.6288158297538757,8.299980580806732,8.293403208255768
9,4.14766588807106,5.10537651181221,7.399815559387207,7.645161211490631,6.853621184825897,8.399576306343079,0.6571602616459131,8.899979770183563,8.891420006752014
10,4.566016435623169,5.429310083389282,7.999797761440277,8.128664582967758,7.436007380485535,8.999574780464172,1.0494744274765253,9.499979555606842,9.490795373916626
11,5.035198539495468,5.764215588569641,8.599794805049896,8.55662590265274,8.012546718120575,9.59956830739975,1.5942746493965387,10.099979281425476,10.089442133903503
12,5.507332503795624,6.100242465734482,9.199789583683014,9.046123415231705,8.604604363441467,10.199567973613739,2.18838126398623,10.699974954128265,10.680308282375336
13,5.959343284368515,6.410007476806641,9.799784898757935,9.590103834867477,9.203121662139893,10.799556076526642,2.783585438504815,11.299972295761108,11.276356935501099
14,6.42294654250145,6.7191131711006165,10.399780213832855,9.996401935815811,9.802487134933472,11.398772478103638,3.3799778912216425,11.899967789649963,11.851767480373383
15,6.886843383312225,7.053698897361755,10.99976909160614,10.403009742498398,10.401542901992798,11.997253954410553,3.979498216882348,12.499962031841278,12.440857291221619
16,7.326046466827393,7.393829256296158,11.599742889404297,10.730151563882828,10.999329209327698,12.596953332424164,4.579418310895562,13.099958181381226,13.035550057888031
17,7.752267628908157,7.736091881990433,12.199726998806,11.059432297945023,11.596846163272858,13.194688558578491,5.179261574521661,13.699952781200409,13.628688216209412
18,8.24019080400467,8.06188091635704,12.799716830253601,10.760864198207855,12.144293248653412,13.794687747955322,5.779094347730279,14.299948275089264,14.217390894889832
19,8.698266923427582,8.392050206661224,13.399695098400116,11.058948814868927,12.743302941322327,14.367729246616364,6.379031369462609,14.89994364976883,14.807114601135254
20,9.244888544082642,8.71959039568901,13.99968945980072,11.431005954742432,13.340677201747894,14.866390317678452,6.978916654363275,15.499941647052765,15.396123230457306
21,9.79986310005188,9.010617464780807,14.599680244922638,11.765728294849396,13.940438270568848,15.187361240386963,7.578786799684167,16.099939048290253,15.97829806804657
22,10.254032492637634,9.315251499414444,15.199467837810516,12.159746885299683,14.531285107135773,15.29006553441286,8.178726563230157,16.699932515621185,16.551239013671875
23,10.749691218137741,9.630073964595795,15.799353837966919,12.500411182641983,15.126316666603088,15.42256360501051,8.77866549231112,17.299924194812775,17.1149440407753
24,11.295218497514725,9.938878953456879,16.39928901195526,12.857209712266922,15.719504475593567,15.516453467309475,9.378532717004418,17.899819910526276,17.604267984628677
25,11.834040969610214,10.223156452178955,16.999269485473633,13.24277776479721,16.305528104305267,15.675043366849422,9.978328237310052,18.49925273656845,18.006273806095123
26,12.36918792128563,10.499241322278976,17.59917449951172,13.663945078849792,16.878161787986755,15.701235434040427,10.577946731820703,19.091943442821503,18.296931445598602
27,12.935214191675186,10.780240774154663,18.19913339614868,14.095807671546936,17.433036744594574,15.789207389578223,11.177405068650842,19.649154484272003,18.44475084543228
28,13.51524743437767,11.09468337893486,18.79908311367035,14.628158569335938,17.71326431632042,15.8938251119107,11.776742348447442,20.0,18.449171237647533
29,14.082387953996658,11.503964811563492,19.39900827407837,15.149898707866669,18.065676122903824,16.042926905676723,12.375851044431329,20.0,18.680785723030567
30,14.664652913808823,11.857562512159348,19.998993456363678,15.634859383106232,18.384037107229233,16.39403718523681,12.975614557042718,20.0,19.01367262750864
31,15.234425276517868,12.336109161376953,20.0,16.141621828079224,18.63578861951828,16.884446589276195,13.57525927759707,20.0,19.341122187674046
32,15.833458453416824,12.856711685657501,20.0,16.141621828079224,18.63578861951828,16.884446589276195,14.174758026376367,20.0,19.569994159042835
33,16.429586678743362,13.456162989139557,20.0,16.141621828079224,18.63578861951828,16.884446589276195,14.77400160767138,20.0,19.473245069384575
34,17.02448382973671,14.056116938591003,20.0,16.141621828079224,18.63578861951828,16.884446589276195,15.372516104951501,20.0,19.182127997279167
35,17.616868406534195,14.656101524829865,20.0,16.141621828079224,18.63578861951828,16.884446589276195,15.9688113424927,20.0,18.87898598611355
36,18.20268914103508,15.256097555160522,20.0,16.141621828079224,18.63578861951828,16.884446589276195,16.55670184828341,20.0,18.366481110453606
37,18.766095608472824,15.8560950756073,20.0,16.141621828079224,18.63578861951828,16.884446589276195,17.088272938504815,20.0,17.80668841302395
38,19.115164548158646,16.456094682216644,20.0,16.141621828079224,18.63578861951828,16.884446589276195,17.65205211378634,20.0,17.212147280573845
39,19.087347948923707,17.05609428882599,19.98933901451528,16.141621828079224,18.63578861951828,16.884446589276195,18.2283350918442,19.70110696554184,16.617299899458885
40,18.65020870603621,17.656092047691345,19.793379386886954,16.141621828079224,18.63578861951828,16.884446589276195,18.808748433366418,19.10112875699997,16.60795897897333
41,18.26855900324881,18.25609177350998,19.677622152492404,16.141621828079224,18.63578861951828,16.884446589276195,19.40215183235705,18.501133859157562,16.44601448532194
42,18.729532146826386,18.85587602853775,19.640523238107562,16.141621828079224,18.63578861951828,16.884446589276195,19.565201411023736,17.90129667520523,17.026668093167245
43,18.576664859429002,18.413372725248337,19.041337413713336,16.141621828079224,18.63578861951828,16.884446589276195,18.965211102738976,17.315529704093933,17.62374999281019
44,18.294425958767533,18.269688799977303,18.474385960027575,16.141621828079224,18.63578861951828,16.884446589276195,18.965211102738976,17.315529704093933,17.62374999281019
