step,agent_0_x,agent_0_y,agent_0_z,agent_1_x,agent_1_y,agent_1_z,agent_2_x,agent_2_y,agent_2_z
0,2.0,2.0,2.0,3.5,1.5,3.0,1.5,3.5,3.5
1,2.5565267205238342,1.9418256618082523,2.5882917046546936,4.099936127662659,1.641983762383461,3.599945545196533,1.5268117152154446,4.096598386764526,3.982414036989212
2,3.1154133677482605,1.8019030578434467,3.1468544006347656,4.699875354766846,1.7712911814451218,4.199899077415466,1.5713688246905804,4.691802501678467,4.459277302026749
3,3.6646531224250793,1.676772866398096,3.730867087841034,5.299828767776489,1.866918720304966,4.79987496137619,1.6053789965808392,5.286157131195068,4.935839116573334
4,4.231017351150513,1.4895180501043797,4.328005433082581,5.899767518043518,1.9667898043990135,5.399851500988007,1.5875104777514935,5.8792917132377625,5.410708576440811
5,4.804349064826965,1.2650720365345478,4.927562177181244,6.499737560749054,2.062871962785721,5.999839246273041,1.5494483970105648,6.471853673458099,5.886660873889923
6,5.3806039690971375,1.0419019050896168,5.527146875858307,7.099715352058411,2.26937472820282,6.5998117327690125,1.6085976399481297,7.065397679805756,6.370400458574295
7,5.956476509571075,0.8207462765276432,6.126820862293243,7.6996941566467285,2.4850087016820908,7.1997838616371155,1.631645804271102,7.658200919628143,6.8522438406944275
8,6.518994629383087,0.6279782094061375,6.7259814739227295,8.29966002702713,2.7530577033758163,7.799706041812897,1.906894152984023,8.254340469837189,7.388282775878906
9,7.08593362569809,0.415711123496294,7.325734794139862,8.899633586406708,3.2111336141824722,8.399600863456726,2.1457499023526907,8.850790202617645,7.92550790309906
10,7.649371981620789,0.21396062150597572,7.925504207611084,9.499629616737366,3.283181317150593,8.999593615531921,2.5141687151044607,9.447926580905914,8.496029615402222
11,8.194761395454407,0.03986585512757301,8.525168478488922,10.099613845348358,3.4200660064816475,9.599584460258484,2.843818401917815,10.04245263338089,9.049530327320099
12,8.710644483566284,0.0,9.124449372291565,10.699593782424927,3.5696435049176216,10.199573636054993,3.431010579690337,10.64153105020523,9.646127760410309
